strategy,overall_mae_p_base,nonzero_mae_p_base,bin35_mae_p_base,bin35_exact_p_base,bin6_mae_p_base,bin6_exact_p_base,id_p_ceil,overall_mae_p_ceil,nonzero_mae_p_ceil,bin35_mae_p_ceil,bin35_exact_p_ceil,bin6_mae_p_ceil,bin6_exact_p_ceil,id_p_base
S0,NA,NA,NA,NA,NA,NA,0,2,2,2,2,2,2,NA
S1,0.1204,0.276,0.2796,0.7536,0.328,0.8176,0,0.0068,0.022,0.0128,0.0376,0.0056,0.1284,0
S2,0.618,0.2772,1.2444,1.2936,0.2296,0.788,0,0.1148,0.016,0.0288,0.092,0.0028,0.0056,0
S3,0.48,0.4192,1.1404,0.8024,0.348,0.8312,0,0.0552,0.032,0.0312,0.0312,0.0056,0.0044,0
S4,0.0428,0.1048,0.7524,0.7524,0.1452,1.2032,0,0,4e-4,0.4016,0.4336,0,0.0088,0
S5,0.0308,0.0652,0.9072,1.3048,0.0376,1.1632,0,4e-4,0.0036,0.226,0.2532,4e-4,0.0148,0
