strategy,overall_mae,overall_exact,nonzero_mae,bin35_mae,bin35_exact,bin6_mae,bin6_exact
T5-XL-QLoRA (ceiling),0.11641443538998836,0.959254947613504,0.14814814814814814,0.18666666666666668,0.9066666666666666,1.0526315789473684,0.8421052631578947
S0 — Baseline,0.1559953434225844,0.9499417927823051,0.20925925925925926,0.24,0.8666666666666667,1.9736842105263157,0.7105263157894737
S1 — Weighted sampling,0.25844004656577413,0.9511059371362048,0.3592592592592593,0.26666666666666666,0.8533333333333334,4.078947368421052,0.7368421052631579
S2 — Loss weighting,0.22467986030267753,0.9534342258440046,0.34629629629629627,0.24,0.8666666666666667,3.9473684210526314,0.6842105263157895
S3 — Targeted examples,0.2421420256111758,0.9476135040745053,0.35185185185185186,0.24,0.8533333333333334,4.052631578947368,0.6842105263157895
S4 — Back-translation,0.26775320139697323,0.9487776484284052,0.37222222222222223,0.21333333333333335,0.88,4.184210526315789,0.7105263157894737
S1+S4 — Weighted + back-transl.,0.25029103608847497,0.9487776484284052,0.3611111111111111,0.21333333333333335,0.88,4.0,0.7105263157894737
S5 — T5 paraphrase,0.270081490104773,0.9511059371362048,0.37777777777777777,0.22666666666666666,0.8666666666666667,4.342105263157895,0.7105263157894737
S6 — Few-shot on best model,0.5855646100116414,0.8614668218859138,0.37222222222222223,0.22666666666666666,0.88,4.157894736842105,0.6578947368421053
